623.HK,SINOMEDIA HLDG,Media
685.HK,MEDIA CHINESE,Media
100.HK,CLEAR MEDIA,Media
2280.HK,HC INTERNATIONAL,Media
1661.HK,WISDOM HOLDINGS,Media
2008.HK,PHOENIX SATELLIT,Media
511.HK,TVB,Media
1733.HK,WINSWAY ENTERPRI,Mining
3939.HK,WANGUO INTERNATI,Mining
3313.HK,ARTGO MINING HOL,Mining
340.HK,CHINA MINING RES,Mining
1091.HK,CITIC DAMENG HOL,Mining
815.HK,CHINA SILVER GRO,Mining
1277.HK,KINETIC MINES AN,Mining
1051.HK,G-RESOURCES GROU,Mining
1258.HK,CHINA NONFERROUS,Mining
1818.HK,ZHAOJIN MINING-H,Mining
1171.HK,YANZHOU COAL-H,Mining
3993.HK,CMOC-H,Mining
1898.HK,CHINA COAL ENE-H,Mining
2899.HK,ZIJIN MINING-H,Mining
1088.HK,CHINA SHENHUA-H,Mining
8145.HK,TSO,Mobile Telecommunications
1155.HK,CENTRON TELECOM,Mobile Telecommunications
1883.HK,CITIC TELECOM,Mobile Telecommunications
315.HK,SMARTONE TELECOM,Mobile Telecommunications
215.HK,HUTCHTEL HK,Mobile Telecommunications
762.HK,CHINA UNICOM,Mobile Telecommunications
941.HK,CHINA MOBILE,Mobile Telecommunications
80.HK,CNEWECON FUND,Nonequity Investment Instruments
222.HK,MIN XIN HLDGS,Nonlife Insurance
6161.HK,TARGET INS,Nonlife Insurance
662.HK,ASIA FINAN HLDGS,Nonlife Insurance
1339.HK,PICC GROUP-H,Nonlife Insurance
2328.HK,PICC P&C-H,Nonlife Insurance
1251.HK,SPT ENERGY GROUP,Oil & Gas Producers
1555.HK,MIE HOLDINGS COR,Oil & Gas Producers
467.HK,UNITED ENERGY GP,Oil & Gas Producers
933.HK,BRIGHTOIL PETRO,Oil & Gas Producers
135.HK,KUNLUN ENERGY,Oil & Gas Producers
883.HK,CNOOC,Oil & Gas Producers
386.HK,SINOPEC CORP-H,Oil & Gas Producers
857.HK,PETROCHINA-H,Oil & Gas Producers
3303.HK,JUTAL OFFSHORE,"Oil Equipment, Services & Distribution"
681.HK,CHI PEOPLE HOLD,"Oil Equipment, Services & Distribution"
206.HK,TSC GROUP HOLDIN,"Oil Equipment, Services & Distribution"
839.HK,ANHUI TIANDA - H,"Oil Equipment, Services & Distribution"
1265.HK,TIANJIN JINRAN-H,"Oil Equipment, Services & Distribution"
196.HK,HONGHUA GROUP,"Oil Equipment, Services & Distribution"
1623.HK,HILONG HOLDING,"Oil Equipment, Services & Distribution"
2886.HK,BINHAI INVESTMEN,"Oil Equipment, Services & Distribution"
603.HK,CHINA OIL AND GA,"Oil Equipment, Services & Distribution"
2236.HK,WISON ENGINEERIN,"Oil Equipment, Services & Distribution"
568.HK,SHANDONG MOLON-H,"Oil Equipment, Services & Distribution"
934.HK,SINOPEC KANTONS,"Oil Equipment, Services & Distribution"
384.HK,CHINA GAS HOLDIN,"Oil Equipment, Services & Distribution"
2883.HK,CHINA OILFIELD-H,"Oil Equipment, Services & Distribution"
2011.HK,KEE HOLDINGS,Personal Goods
1255.HK,S CULTURE,Personal Goods
540.HK,SPEEDY GLOBAL HO,Personal Goods
844.HK,GRAND CONCORD,Personal Goods
1058.HK,GUANGDONG TANNER,Personal Goods
6838.HK,WINOX HOLDINGS,Personal Goods
1488.HK,LEE & MAN HANDBA,Personal Goods
1100.HK,MAINLAND HEADWEA,Personal Goods
48.HK,C AUTO INT DECO,Personal Goods
333.HK,TOP FORM INTL,Personal Goods
8309.HK,RUNWAY GLOBAL HO,Personal Goods
2307.HK,KAM HING INTERNA,Personal Goods
130.HK,MOISELLE INTERN,Personal Goods
1327.HK,TIME2U,Personal Goods
1468.HK,UKF HOLDINGS LTD,Personal Goods
417.HK,TSE SUI LUEN,Personal Goods
3828.HK,MING FAI INTL,Personal Goods
1173.HK,VEEKO INTL HLDGS,Personal Goods
125.HK,SUN HING VISION,Personal Goods
3608.HK,YONGSHENG ADVANC,Personal Goods
458.HK,TRISTATE HLDGS,Personal Goods
627.HK,U-RIGHT INTL HLD,Personal Goods
608.HK,HIGH FASHION INT,Personal Goods
1616.HK,SILVERMAN HOLDIN,Personal Goods
1247.HK,MIKO INTERNATION,Personal Goods
676.HK,PEGASUS INTL HLD,Personal Goods
1170.HK,KINGMAKER FOOT,Personal Goods
528.HK,KINGDOM HLDG LTD,Personal Goods
2368.HK,EAGLE NICE INTL,Personal Goods
938.HK,MAN SANG INTL,Personal Goods
211.HK,STYLAND HLDGS,Personal Goods
213.HK,NATL ELEC HLDGS,Personal Goods
2223.HK,CASABLANCA GROUP,Personal Goods
873.HK,CHINA TAIFENG BE,Personal Goods
837.HK,CARPENTER TAN,Personal Goods
483.HK,BAUHAUS INTL HLD,Personal Goods
420.HK,FOUNTAIN SET HLD,Personal Goods
239.HK,PAK FAH YEOW INT,Personal Goods
122.HK,CROCODILE GARMEN,Personal Goods
3322.HK,WIN HANVERKY,Personal Goods
157.HK,NATURAL BEAUTY,Personal Goods
311.HK,LUEN THAI HLDGS,Personal Goods
1259.HK,CHINA CHILD CARE,Personal Goods
1388.HK,EMBRY HOLDINGS,Personal Goods
2668.HK,PAK TAK INTERNAT,Personal Goods
1682.HK,HIGHLIGHT IOT,Personal Goods
1027.HK,JC UMBRELLA,Personal Goods
738.HK,LE SAUNDA,Personal Goods
84.HK,STELUX HLDG INTL,Personal Goods
375.HK,YGM TRADING,Personal Goods
2033.HK,TIME WATCH,Personal Goods
539.HK,VICTORY CITY INT,Personal Goods
1131.HK,AGRITRADE RESOUR,Personal Goods
653.HK,BONJOUR HLDGS,Personal Goods
1146.HK,CHINA OUTFITTERS,Personal Goods
746.HK,L & M CHEMICAL,Personal Goods
533.HK,GOLDLION HLDG,Personal Goods
210.HK,DAPHNE INTERNATI,Personal Goods
1361.HK,361 DEGREES,Personal Goods
1028.HK,C.BANNER,Personal Goods
1023.HK,SITOY GROUP HOLD,Personal Goods
2698.HK,WEIQIAO TEXTI-H,Personal Goods
2200.HK,HOSA INTL LTD,Personal Goods
1368.HK,XTEP INTL,Personal Goods
444.HK,SINCEREWATCH HK,Personal Goods
369.HK,WING TAI PROPERT,Personal Goods
3998.HK,BOSIDENG INTL,Personal Goods
1234.HK,CHINA LILANG LTD,Personal Goods
2678.HK,TEXHONG TEXTILE,Personal Goods
1819.HK,FUGUINIAO-H,Personal Goods
321.HK,TEXWINCA HLDG,Personal Goods
1836.HK,STELLA INTERNATI,Personal Goods
1382.HK,PACIFIC TEXTILE,Personal Goods
2020.HK,ANTA SPORTS PROD,Personal Goods
551.HK,YUE YUEN IND,Personal Goods
2313.HK,SHENZHOU INTL GP,Personal Goods
494.HK,LI & FUNG LTD,Personal Goods
1044.HK,HENGAN INTL,Personal Goods
1913.HK,PRADA,Personal Goods
8225.HK,C HEALTH GP,Pharmaceuticals & Biotechnology
8247.HK,BIOSINO BIO-H,Pharmaceuticals & Biotechnology
897.HK,WAI YUEN TONG ME,Pharmaceuticals & Biotechnology
858.HK,EXTRAWELL PHARM,Pharmaceuticals & Biotechnology
1035.HK,BBI LIFE SCIENCE,Pharmaceuticals & Biotechnology
8189.HK,TIANJIN TEDA-H,Pharmaceuticals & Biotechnology
503.HK,LANSEN PHARMACEU,Pharmaceuticals & Biotechnology
8329.HK,SHENZHEN NEPTU-H,Pharmaceuticals & Biotechnology
1164.HK,CGN MINING,Pharmaceuticals & Biotechnology
1061.HK,ESSEX BIO-TECH,Pharmaceuticals & Biotechnology
8049.HK,JILIN PROVINCE-H,Pharmaceuticals & Biotechnology
512.HK,CHINA GRAND PHAR,Pharmaceuticals & Biotechnology
2348.HK,DAWNRAYS PHARMAC,Pharmaceuticals & Biotechnology
963.HK,BLOOMAGE BIOTE,Pharmaceuticals & Biotechnology
1681.HK,CONSUN PHARMACEU,Pharmaceuticals & Biotechnology
950.HK,LEE'S PHARM,Pharmaceuticals & Biotechnology
3933.HK,THE UNITED LABOR,Pharmaceuticals & Biotechnology
1349.HK,SHANGHAI FUDAN-H,Pharmaceuticals & Biotechnology
775.HK,CK LIFE SCIENCES,Pharmaceuticals & Biotechnology
8058.HK,LUOXIN PHARMA-H,Pharmaceuticals & Biotechnology
2877.HK,CHINA SHINEWAY,Pharmaceuticals & Biotechnology
587.HK,HUA HAN BIO-PHAR,Pharmaceuticals & Biotechnology
8138.HK,TONGRENTANGCM,Pharmaceuticals & Biotechnology
940.HK,C ANIMAL HEALTH,Pharmaceuticals & Biotechnology
2005.HK,LIJUN INT'L,Pharmaceuticals & Biotechnology
570.HK,TRAD CHI MED,Pharmaceuticals & Biotechnology
1666.HK,TONG REN TANG-H,Pharmaceuticals & Biotechnology
867.HK,CHINA MEDICAL SY,Pharmaceuticals & Biotechnology
1177.HK,SINO BIOPHARM,Pharmaceuticals & Biotechnology
1093.HK,CSPC PHARMACEUTI,Pharmaceuticals & Biotechnology
460.HK,SIHUAN PHARM,Pharmaceuticals & Biotechnology
874.HK,BAIYUNSHAN PH-H,Pharmaceuticals & Biotechnology
1099.HK,SINOPHARM-H,Pharmaceuticals & Biotechnology
1064.HK,ZHONG HUA INTL,Real Estate Investment & Services
287.HK,WINFAIR INVESTME,Real Estate Investment & Services
22.HK,MEXAN LTD,Real Estate Investment & Services
495.HK,PALADIN LTD,Real Estate Investment & Services
864.HK,WING LEE PROPERT,Real Estate Investment & Services
8181.HK,KONGSHUMUNION,Real Estate Investment & Services
29.HK,DYNAMIC HLDG.,Real Estate Investment & Services
216.HK,CHINNEY INVESTMT,Real Estate Investment & Services
298.HK,CHUANG'S CHINA,Real Estate Investment & Services
278.HK,WAH HA REALTY CO,Real Estate Investment & Services
1663.HK,SINO HARBOUR,Real Estate Investment & Services
456.HK,NEW CITY DEV,Real Estate Investment & Services
183.HK,RICHFIELD GROUP,Real Estate Investment & Services
281.HK,RIVERA HLDG,Real Estate Investment & Services
747.HK,SHENYANG PUB-H,Real Estate Investment & Services
89.HK,TAI SANG LAND DE,Real Estate Investment & Services
1281.HK,KAI SHI CHINA HO,Real Estate Investment & Services
219.HK,SHUN HO TECH HLD,Real Estate Investment & Services
225.HK,POKFULAM DEV CO,Real Estate Investment & Services
1232.HK,GW TIANDI HLDS,Real Estate Investment & Services
859.HK,HENRY GROUP HOLD,Real Estate Investment & Services
214.HK,ASIA ORIENT,Real Estate Investment & Services
898.HK,MULTIFIELD INTL,Real Estate Investment & Services
224.HK,PIONEER GLOBAL,Real Estate Investment & Services
93.HK,TERMBRAY INDUS,Real Estate Investment & Services
286.HK,COMMON SPLENDOR,Real Estate Investment & Services
733.HK,HOPEFLUENT GROUP,Real Estate Investment & Services
1215.HK,KAI YUAN HOLDING,Real Estate Investment & Services
237.HK,SAFETY GODOWN CO,Real Estate Investment & Services
367.HK,CHUANGS CONSORT,Real Estate Investment & Services
277.HK,TERN PROPERTIES,Real Estate Investment & Services
1036.HK,VANKE PROPERTY,Real Estate Investment & Services
191.HK,LAI SUN GARMENT,Real Estate Investment & Services
160.HK,HON KWOK LAND IN,Real Estate Investment & Services
1107.HK,MODERN LAND,Real Estate Investment & Services
672.HK,ZHONG AN REAL,Real Estate Investment & Services
106.HK,LANDSEA GREEN PR,Real Estate Investment & Services
75.HK,YT REALTY GROUP,Real Estate Investment & Services
1168.HK,SINOLINK WORLD,Real Estate Investment & Services
271.HK,DAN FORM HOLD,Real Estate Investment & Services
129.HK,ASIA STANDARD IN,Real Estate Investment & Services
1838.HK,CHINA PROPERTIES,Real Estate Investment & Services
1125.HK,LAI FUNG HLDGS,Real Estate Investment & Services
1200.HK,MIDLAND HOLDINGS,Real Estate Investment & Services
184.HK,KECK SENG INVEST,Real Estate Investment & Services
798.HK,OPTICS VALLEY UN,Real Estate Investment & Services
3688.HK,TOP SPRING INTL,Real Estate Investment & Services
258.HK,TOMSON GROUP LTD,Real Estate Investment & Services
497.HK,CSI PROPERTIES,Real Estate Investment & Services
617.HK,PALIBURG HLDGS,Real Estate Investment & Services
230.HK,MINMETALS LAND,Real Estate Investment & Services
199.HK,ITC PROPERTIES G,Real Estate Investment & Services
131.HK,CHEUK NANG HLDGS,Real Estate Investment & Services
158.HK,MELBOURNE ENTERP,Real Estate Investment & Services
488.HK,LAI SUN DEV,Real Estate Investment & Services
2118.HK,TIAN SHAN DEVE,Real Estate Investment & Services
50.HK,HONG KG FERR,Real Estate Investment & Services
878.HK,SOUNDWILL HLDGS,Real Estate Investment & Services
1224.HK,C C LAND HOLDING,Real Estate Investment & Services
1862.HK,JINGRUI HOLDINGS,Real Estate Investment & Services
3883.HK,CHINA AOYUAN PRO,Real Estate Investment & Services
26.HK,CHINA MOTOR BUS,Real Estate Investment & Services
88.HK,TAI CHEUNG HLDGS,Real Estate Investment & Services
251.HK,SEA HOLDINGS,Real Estate Investment & Services
266.HK,TIAN TECK LAND,Real Estate Investment & Services
1966.HK,CHINA SCE PROPER,Real Estate Investment & Services
832.HK,CENTRAL CHINA,Real Estate Investment & Services
1098.HK,ROAD KING INFRAS,Real Estate Investment & Services
1238.HK,POWERLONG REAL,Real Estate Investment & Services
480.HK,HKR INTL LTD,Real Estate Investment & Services
1233.HK,TIMES PROPERTY H,Real Estate Investment & Services
1777.HK,FANTASIA HOLDING,Real Estate Investment & Services
1396.HK,HYDOO INTERNATIO,Real Estate Investment & Services
35.HK,FE CONSORT INTL,Real Estate Investment & Services
1030.HK,FUTURE LAND DEVE,Real Estate Investment & Services
1369.HK,WUZHOU INTERNATI,Real Estate Investment & Services
1622.HK,REDCO PROPERTIES,Real Estate Investment & Services
2608.HK,SUNSHINE 100 CHI,Real Estate Investment & Services
1628.HK,YUZHOU PROPERTIE,Real Estate Investment & Services
163.HK,EMPEROR INTL,Real Estate Investment & Services
28.HK,TIAN AN CHINA IN,Real Estate Investment & Services
337.HK,GREENLAND HONG K,Real Estate Investment & Services
1638.HK,KAISA GROUP,Real Estate Investment & Services
1176.HK,ZHUGUANG HOLDING,Real Estate Investment & Services
81.HK,CHINA OVERSEAS G,Real Estate Investment & Services
715.HK,CHINA OCEANWIDE,Real Estate Investment & Services
2868.HK,BJ CAPITAL LAN-H,Real Estate Investment & Services
34.HK,KOWLOON DVLP CO,Real Estate Investment & Services
884.HK,CIFI HOLDINGS GR,Real Estate Investment & Services
173.HK,K WAH INTL HLDGS,Real Estate Investment & Services
3380.HK,LOGAN PPT,Real Estate Investment & Services
754.HK,HOPSON DEV,Real Estate Investment & Services
119.HK,POLY PROPERTY,Real Estate Investment & Services
295.HK,KONG SUN HLDGS,Real Estate Investment & Services
3900.HK,GREENTOWN CHINA,Real Estate Investment & Services
412.HK,HERITAGE INTL,Real Estate Investment & Services
272.HK,SHUI ON LAND,Real Estate Investment & Services
846.HK,MINGFA GROUP INT,Real Estate Investment & Services
1813.HK,KWG PROPERTY,Real Estate Investment & Services
3383.HK,AGILE PROPERTY,Real Estate Investment & Services
123.HK,YUEXIU PROPERTY,Real Estate Investment & Services
604.HK,SHENZHEN INVEST,Real Estate Investment & Services
207.HK,JOY CITY PPT,Real Estate Investment & Services
588.HK,BEIJING NORTH-H,Real Estate Investment & Services
817.HK,FRANSHION PPT,Real Estate Investment & Services
1918.HK,SUNAC,Real Estate Investment & Services
54.HK,HOPEWELL HLDGS,Real Estate Investment & Services
2777.HK,GUANGZHOU R&F -H,Real Estate Investment & Services
410.HK,SOHO CHINA,Real Estate Investment & Services
247.HK,TSIM SHA TSUI,Real Estate Investment & Services
3377.HK,SINO OCEAN LAND,Real Estate Investment & Services
14.HK,HYSAN DEV,Real Estate Investment & Services
683.HK,KERRY PPT,Real Estate Investment & Services
917.HK,NEW WORLD CHINA,Real Estate Investment & Services
127.HK,CHINESE ESTATES,Real Estate Investment & Services
283.HK,GOLDIN PROPERTIE,Real Estate Investment & Services
10.HK,HANG LUNG GROUP,Real Estate Investment & Services
3333.HK,EVERGRANDE,Real Estate Investment & Services
813.HK,SHIMAO PROPERTY,Real Estate Investment & Services
2007.HK,COUNTRY GARDEN,Real Estate Investment & Services
960.HK,LONGFOR PPT,Real Estate Investment & Services
83.HK,SINO LAND,Real Estate Investment & Services
20.HK,WHEELOCK & CO,Real Estate Investment & Services
17.HK,NEW WORLD DEV,Real Estate Investment & Services
101.HK,HANG LUNG PPT,Real Estate Investment & Services
1109.HK,CHINA RES LAND,Real Estate Investment & Services
1972.HK,SWIREPROPERTIES,Real Estate Investment & Services
4.HK,WHARF HLDG,Real Estate Investment & Services
12.HK,HENDERSON LAND D,Real Estate Investment & Services
688.HK,CHINA OVERSEAS,Real Estate Investment & Services
16.HK,SHK PPT,Real Estate Investment & Services
808.HK,PROSPERITY REIT,Real Estate Investment Trusts
1426.HK,SPRING REAL ESTA,Real Estate Investment Trusts
435.HK,SUNLIGHT REIT,Real Estate Investment Trusts
1881.HK,REGAL REAL ESTAT,Real Estate Investment Trusts
1270.HK,LANGHAM -SS,Real Estate Investment Trusts
405.HK,YUEXIU REIT,Real Estate Investment Trusts
778.HK,FORTUNE REIT,Real Estate Investment Trusts
87001.HK,HUI XIAN REIT,Real Estate Investment Trusts
2778.HK,CHAMPION REIT,Real Estate Investment Trusts
823.HK,LINK REIT,Real Estate Investment Trusts
8131.HK,ABC MULTIACTIVE,Software & Computer Services
8033.HK,VODATEL NETWORKS,Software & Computer Services
465.HK,FUTONG TECHNOLOG,Software & Computer Services
771.HK,AUTOMATED SYS,Software & Computer Services
418.HK,FOUNDER HOLDINGS,Software & Computer Services
8175.HK,CHINA DIGITAL CU,Software & Computer Services
46.HK,COMPUTER & TECH,Software & Computer Services
8255.HK,CHINA BINARY SAL,Software & Computer Services
8095.HK,BEIDA JADE BIR-H,Software & Computer Services
1026.HK,UNIVERSAL TECHNO,Software & Computer Services
8006.HK,SINO SPLENDID,Software & Computer Services
1075.HK,CAPINFO CO LTD-H,Software & Computer Services
543.HK,PACIFIC ONLINE,Software & Computer Services
1236.HK,NATIONAL AGRI,Software & Computer Services
1297.HK,SINOSOFT TECHNOL,Software & Computer Services
8008.HK,SUNEVISION HLDGS,Software & Computer Services
818.HK,HI SUN TECHNOLOG,Software & Computer Services
268.HK,KINGDEE INTL SFT,Software & Computer Services
696.HK,TRAVELSKY TECH-H,Software & Computer Services
700.HK,TENCENT,Software & Computer Services
8265.HK,POWERWELL PACIFI,Support Services
599.HK,E BON HLDGS LTD,Support Services
8235.HK,CCID CONSULTIN-H,Support Services
8031.HK,ETS GROUP LTD,Support Services
2340.HK,SYNERGIS HOLDING,Support Services
1884.HK,EPRINT GROUP LTD,Support Services
1127.HK,1010 PRINTING GR,Support Services
569.HK,CHINA AUTOMATION,Support Services
450.HK,HUNG HING PRINT,Support Services
536.HK,TRADELINK ELECTR,Support Services
6888.HK,FREETECH ROAD RE,Support Services
915.HK,LINMARK GROUP,Support Services
445.HK,CHINA FIRE SAFET,Support Services
1191.HK,YUESHOU ENV,Support Services
377.HK,HUAJUN HOLD,Support Services
1390.HK,ECONTEXT ASIA,Support Services
1008.HK,BRILLIANT CIRCLE,Support Services
982.HK,IONE HOLDINGS,Support Services
1522.HK,CHINA CITY RAILW,Support Services
1206.HK,TECHNOVATOR,Support Services
32.HK,CROSS-HAR HLDGS,Support Services
1328.HK,INTL ELITE LTD,Support Services
1381.HK,CANVEST ENV,Support Services
1205.HK,CITIC RESOURCES,Support Services
967.HK,SOUND GLOBAL LTD,Support Services
1363.HK,CT ENVIRONMENTAL,Support Services
257.HK,CHINA EVERBR INT,Support Services
8159.HK,GLORY MARK LTD,Technology Hardware & Equipment
1079.HK,PINE TECHNOLOGY,Technology Hardware & Equipment
1143.HK,TELEFIELD INTERN,Technology Hardware & Equipment
8036.HK,GOLDENMARS TECHN,Technology Hardware & Equipment
1010.HK,PACMOS TECH HLDG,Technology Hardware & Equipment
1263.HK,PC PARTNER GROUP,Technology Hardware & Equipment
1050.HK,KARRIE INTL HLDG,Technology Hardware & Equipment
138.HK,CCT FORTIS HOLDI,Technology Hardware & Equipment
2371.HK,CHINA CHUANGLIAN,Technology Hardware & Equipment
92.HK,CHAMPION TECH,Technology Hardware & Equipment
3355.HK,ADVANCED SEMIC-H,Technology Hardware & Equipment
529.HK,SIS INTL.,Technology Hardware & Equipment
8236.HK,POWERLEADER SC-H,Technology Hardware & Equipment
1399.HK,SCUD GROUP LTD,Technology Hardware & Equipment
2028.HK,JOLIMARK HLDGS,Technology Hardware & Equipment
99.HK,WONGS INTL HLDGS,Technology Hardware & Equipment
2308.HK,EVOC INTELLIG-H,Technology Hardware & Equipment
877.HK,O-NET COMMUNICAT,Technology Hardware & Equipment
947.HK,MOBI DEVELOPMENT,Technology Hardware & Equipment
596.HK,INSPUR INTERNATI,Technology Hardware & Equipment
6168.HK,CHINA U-TON HOLD,Technology Hardware & Equipment
1639.HK,AKM INDUSTRIAL C,Technology Hardware & Equipment
1613.HK,SYNERTONE COMMUN,Technology Hardware & Equipment
1185.HK,CHINA ENERGINE,Technology Hardware & Equipment
903.HK,TPV TECHNOLOGY,Technology Hardware & Equipment
1385.HK,SHANGHAI FUDAN-H,Technology Hardware & Equipment
856.HK,VST HOLDINGS LTD,Technology Hardware & Equipment
6869.HK,YOFC-H,Technology Hardware & Equipment
633.HK,CH ALL ACCESS,Technology Hardware & Equipment
85.HK,CHINA ELECTRONIC,Technology Hardware & Equipment
3336.HK,JU TENG INTL HDG,Technology Hardware & Equipment
1045.HK,APT SATELLITE HL,Technology Hardware & Equipment
2369.HK,COOLPAD,Technology Hardware & Equipment
8005.HK,YUXING INFOTECH,Technology Hardware & Equipment
327.HK,PAX GLOBAL TECHN,Technology Hardware & Equipment
861.HK,DIGITAL CHINA,Technology Hardware & Equipment
2618.HK,TCL COMM TECH HL,Technology Hardware & Equipment
1135.HK,ASIA SATELLITE,Technology Hardware & Equipment
285.HK,BYD ELECTRONIC,Technology Hardware & Equipment
552.HK,CHINA COMM SER-H,Technology Hardware & Equipment
303.HK,VTECH HLDGS LTD,Technology Hardware & Equipment
981.HK,SMIC,Technology Hardware & Equipment
2038.HK,FIH MOBILE LTD,Technology Hardware & Equipment
522.HK,ASM PACIFIC,Technology Hardware & Equipment
992.HK,LENOVO GROUP,Technology Hardware & Equipment
1250.HK,JIN CAI HOLDINGS,Tobacco
79.HK,CENTURY LEGEND,Travel & Leisure
959.HK,AMAX INTERNATION,Travel & Leisure
542.HK,CENERIC HOLDINGS,Travel & Leisure
8107.HK,U BANQUET GROUP,Travel & Leisure
1235.HK,TRAVEL EXPERT,Travel & Leisure
8179.HK,GAYETY HOLDINGS,Travel & Leisure
70.HK,NEPTUNE GROUP,Travel & Leisure
1181.HK,TANG PALACE HLDG,Travel & Leisure
234.HK,NEW CENTURY GRP,Travel & Leisure
253.HK,SHUN HO RESOURCE,Travel & Leisure
6882.HK,EGL HOLDINGS CO,Travel & Leisure
1175.HK,FU JI FOOD & CAT,Travel & Leisure
703.HK,FUTURE BRIGHT,Travel & Leisure
487.HK,SUCCESS UNIVERSE,Travel & Leisure
126.HK,CARRIANNA,Travel & Leisure
292.HK,ASIA STANDARD,Travel & Leisure
908.HK,ZHUHAI HOLDINGS,Travel & Leisure
306.HK,KWOON CHUNG BUS,Travel & Leisure
355.HK,CENTURY CITY INT,Travel & Leisure
1180.HK,PARADISE ENTERTA,Travel & Leisure
1830.HK,PERFECT SHAPE PR,Travel & Leisure
296.HK,EMPEROR E HOTEL,Travel & Leisure
1221.HK,SINO HOTELS,Travel & Leisure
52.HK,FAIRWOOD HLDGS,Travel & Leisure
2266.HK,DORSETT HOSPITAL,Travel & Leisure
1009.HK,INTERNATIONAL EN,Travel & Leisure
201.HK,MAGNIF ESTATES,Travel & Leisure
198.HK,SMI HOLDINGS,Travel & Leisure
8156.HK,CHINA VANGUARD G,Travel & Leisure
1314.HK,TSUI WAH HOLDING,Travel & Leisure
154.HK,BEIJING DEV.(HK),Travel & Leisure
573.HK,TAO HEUNG,Travel & Leisure
78.HK,REGAL HOTEL INTL,Travel & Leisure
538.HK,AJISEN CHINA HOL,Travel & Leisure
2255.HK,HAICHANG HLDS,Travel & Leisure
1371.HK,CHINA LOTSYNERGY,Travel & Leisure
71.HK,MIRAMAR HOT &INV,Travel & Leisure
62.HK,TRANSPORT INTL,Travel & Leisure
105.HK,ASSOC INTL HOTEL,Travel & Leisure
51.HK,HARBOUR CENTRE,Travel & Leisure
1031.HK,KINGSTON FINANCI,Travel & Leisure
6889.HK,DYNAM JAPAN,Travel & Leisure
242.HK,SHUN TAK HOLDING,Travel & Leisure
3918.HK,NAGACORP LTD,Travel & Leisure
308.HK,CHINA TRAVEL HK,Travel & Leisure
2006.HK,SHANGHAI JIN J-H,Travel & Leisure
341.HK,CAFE DE CORAL,Travel & Leisure
45.HK,HK&S HOTELS,Travel & Leisure
1680.HK,MACAU LEGEND,Travel & Leisure
41.HK,GREAT EAGLE,Travel & Leisure
200.HK,MELCO INTL DEV,Travel & Leisure
69.HK,SHANGRI-LA ASIA,Travel & Leisure
2282.HK,MGM CHINA,Travel & Leisure
880.HK,SJM HOLDINGS LTD,Travel & Leisure
293.HK,CATHAY PAC AIR,Travel & Leisure
1128.HK,WYNN MACAU LTD,Travel & Leisure
1055.HK,CHINA SOUTHERN-H,Travel & Leisure
670.HK,CHINA EAST AIR-H,Travel & Leisure
27.HK,GALAXY ENTERTAIN,Travel & Leisure
66.HK,MTR CORP,Travel & Leisure
1928.HK,SANDS CHINA LTD,Travel & Leisure
