182.HK,CONCORD NE,Electricity
735.HK,C P NEW ENERGY,Electricity
956.HK,CHINA SUNTIEN-H,Electricity
579.HK,JNCEC-H,Electricity
2380.HK,CHINA POWER INTE,Electricity
816.HK,HUADIAN FUXIN -H,Electricity
836.HK,CHINA RES POWER,Electricity
902.HK,HUANENG POWER-H,Electricity
1038.HK,CKI HOLDINGS,Electricity
2.HK,CLP HOLDINGS,Electricity
6.HK,POWER ASSETS,Electricity
8092.HK,ITE HOLDINGS LTD,Electronic & Electrical Equipment
675.HK,K&P INTL HLDGS,Electronic & Electrical Equipment
725.HK,PERENNIAL INTL,Electronic & Electrical Equipment
1213.HK,MOBICON GROUP,Electronic & Electrical Equipment
8210.HK,ADVANCED CARD SY,Electronic & Electrical Equipment
1305.HK,WAI CHI HOLD,Electronic & Electrical Equipment
889.HK,DATRONIX HOLD,Electronic & Electrical Equipment
894.HK,MAN YUE TECHNOLO,Electronic & Electrical Equipment
532.HK,WONGS KONG KING,Electronic & Electrical Equipment
851.HK,SHENG YUAN HLDG,Electronic & Electrical Equipment
987.HK,CHINA RENEWABLE,Electronic & Electrical Equipment
2788.HK,YORKEY OPTICAL,Electronic & Electrical Equipment
1037.HK,DAIWA ASSOC HLDG,Electronic & Electrical Equipment
1184.HK,SAS DRAGON HLDG,Electronic & Electrical Equipment
259.HK,YEEBO INTL HLDG,Electronic & Electrical Equipment
842.HK,LEOCH INTERNATIO,Electronic & Electrical Equipment
759.HK,CEC INTL,Electronic & Electrical Equipment
1480.HK,YAN TAT GROUP,Electronic & Electrical Equipment
710.HK,VARITRONIX INTL,Electronic & Electrical Equipment
8311.HK,PERFECT OPTRONIC,Electronic & Electrical Equipment
1478.HK,Q TECHNOLOGY GRO,Electronic & Electrical Equipment
1300.HK,TRIGIANT GROUP,Electronic & Electrical Equipment
31.HK,CHINA AEROSPACE,Electronic & Electrical Equipment
256.HK,CITYCHAMP,Electronic & Electrical Equipment
3777.HK,CH FIBER OPTIC,Electronic & Electrical Equipment
3315.HK,GOLDPAC GROUP,Electronic & Electrical Equipment
382.HK,WELLING HOLDING,Electronic & Electrical Equipment
1366.HK,JIANGNAN GROUP,Electronic & Electrical Equipment
161.HK,AVIC IHL-H,Electronic & Electrical Equipment
1685.HK,BOER POWER HOLDI,Electronic & Electrical Equipment
3393.HK,WASION GROUP,Electronic & Electrical Equipment
732.HK,TRULY INTL HLDGS,Electronic & Electrical Equipment
2382.HK,SUNNY OPTICAL,Electronic & Electrical Equipment
179.HK,JOHNSON ELEC H,Electronic & Electrical Equipment
2018.HK,AAC TECHNOLOGIES,Electronic & Electrical Equipment
770.HK,SHANG INTL GR,Equity Investment Instruments
768.HK,UBA INVESTMENTS,Equity Investment Instruments
913.HK,UNITY INVESTMENT,Equity Investment Instruments
1140.HK,OP FIN INV,Equity Investment Instruments
666.HK,SHK HK INDUSTRIE,Equity Investment Instruments
1062.HK,CDB INT'L INV,Equity Investment Instruments
2324.HK,CAPITAL VC LTD,Financial Services
8215.HK,FIRST CREDIT FIN,Financial Services
8072.HK,ROMA GROUP LTD,Financial Services
1273.HK,HONG KONG FINANC,Financial Services
8193.HK,GRCHINA PROF SER,Financial Services
8098.HK,CL GROUP HOLDING,Financial Services
1019.HK,CONVOY FINANCIAL,Financial Services
8001.HK,ORIENT SECURITIE,Financial Services
952.HK,QUAM LTD,Financial Services
1319.HK,OI WAH PAWNSHOP,Financial Services
111.HK,CINDA INTERNATIO,Financial Services
172.HK,GOLDBOND GROUP H,Financial Services
3623.HK,CHINA SUCCESS FI,Financial Services
279.HK,FREEMAN FIN,Financial Services
1290.HK,CHINA HUIRONG FI,Financial Services
1669.HK,GIC GROUP,Financial Services
6866.HK,ZUOLI M-FIN-H,Financial Services
1260.HK,WONDERFUL SKY FI,Financial Services
717.HK,EMPEROR CAPITAL,Financial Services
212.HK,NANYANG HLDGS,Financial Services
273.HK,WILLIE INTERNATI,Financial Services
510.HK,CASH FINANCIAL S,Financial Services
64.HK,GET NICE HLDGS,Financial Services
133.HK,CHINA MERCHANTS,Financial Services
8056.HK,DIFFER GROUP HOL,Financial Services
227.HK,FIRST SHANGHAI,Financial Services
8123.HK,FIRST CHINA FINA,Financial Services
900.HK,AEON CREDIT SERV,Financial Services
171.HK,SILVER GRANT INT,Financial Services
